City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
364,Tutoia,BR,87.78,overcast clouds,-2.7619,-42.2744,Pousada Guará's
369,Ati,TD,90.01,broken clouds,13.2154,18.3353,
371,Bol,TD,78.66,clear sky,13.4586,14.7147,Hotel 3 Etoiles
374,Conakry,GN,90.36,haze,9.538,-13.6773,Riviera Royal Hotel
376,Japura,ID,73.92,scattered clouds,-0.3167,102.35,Rumah mbah Jamah
378,Inhambane,MZ,84.18,few clouds,-23.865,35.3833,Oceano
379,Matara,LK,76.75,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
380,Chimore,BO,80.44,moderate rain,-16.9833,-65.1333,Bichito
383,Luwuk,ID,76.32,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
386,Ipaba,BR,75.34,light rain,-19.4136,-42.4194,Toca Do Bicho
388,Anloga,GH,91.62,overcast clouds,5.7947,0.8973,Pin Drop Hotel
389,Danane,CI,98.17,few clouds,7.2596,-8.155,Lmd
390,Rio De Janeiro,BR,81.91,broken clouds,-22.9028,-43.2075,Hotel Málaga
392,Ballina,AU,73.36,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
393,Yanam,IN,79.2,few clouds,16.7333,82.2167,The Regency Hotel
394,Carlagan,PH,75.83,light rain,14.975,122.0456,Cabatagan Island
396,Aracruz,BR,81.61,overcast clouds,-19.8203,-40.2733,OYO Hotel Iramar
400,Manikganj,BD,67.98,clear sky,23.8553,90.0125,Girls Hostel- Govt Debendra College
402,Lekoni,GA,83.61,broken clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
405,Vao,NC,80.17,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
406,Namibe,AO,80.44,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
407,French Harbor,HN,82.0,few clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
410,Sao Joao Da Barra,BR,80.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
412,Charleston,US,66.33,clear sky,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
413,Caxito,AO,83.05,few clouds,-8.5785,13.6643,
415,Neiafu,TO,81.28,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
416,Coquimbo,CL,67.73,scattered clouds,-29.9533,-71.3436,Hostel Del Puerto
417,Necochea,AR,65.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
418,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
426,Buin,CL,84.06,broken clouds,-33.7333,-70.75,Paihuen
429,Amahai,ID,77.61,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
430,Port Shepstone,ZA,79.05,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
431,Quatre Cocos,MU,80.71,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
